appMasterHost,appId,runtime
normal_cluster,application_1758535431786_10270,0 days 00:01:43.074000
normal_cluster,application_1758535431786_10281,0 days 00:00:14.208000
normal_cluster,application_1758535431786_10276,0 days 00:00:26.371000
normal_cluster,application_1758535431786_10282,0 days 00:00:29.162000
normal_cluster,application_1758535431786_10268,0 days 00:03:23.759000
normal_cluster,application_1758535431786_10259,0 days 00:04:26.081000
normal_cluster,application_1758535431786_10287,0 days 00:00:12.751000
normal_cluster,application_1758535431786_10278,0 days 00:01:05.990000
normal_cluster,application_1758535431786_10277,0 days 00:01:07.952000
normal_cluster,application_1758535431786_10211,0 days 00:09:31.113000
normal_cluster,application_1758535431786_10288,0 days 00:00:26.343000
normal_cluster,application_1758535431786_10283,0 days 00:01:20.900000
normal_cluster,application_1758535431786_10285,0 days 00:01:08.861000
normal_cluster,application_1758535431786_10212,0 days 00:09:54.834000
normal_cluster,application_1758535431786_10293,0 days 00:00:21.169000
normal_cluster,application_1758535431786_10275,0 days 00:01:58.722000
normal_cluster,application_1758535431786_10274,0 days 00:02:05.751000
normal_cluster,application_1758535431786_10296,0 days 00:00:20.178000
normal_cluster,application_1758535431786_10176,0 days 00:12:27.922000
normal_cluster,application_1758535431786_10289,0 days 00:01:12.952000
normal_cluster,application_1758535431786_10290,0 days 00:01:14.714000
normal_cluster,application_1758535431786_10279,0 days 00:02:27.982000
normal_cluster,application_1758535431786_10300,0 days 00:00:23.085000
normal_cluster,application_1758535431786_10299,0 days 00:00:20.929000
normal_cluster,application_1758535431786_10294,0 days 00:01:27.445000
normal_cluster,application_1758535431786_10298,0 days 00:00:53.220000
normal_cluster,application_1758535431786_10297,0 days 00:01:13.833000
normal_cluster,application_1758535431786_10304,0 days 00:00:11.327000
normal_cluster,application_1758535431786_10291,0 days 00:02:38.349000
normal_cluster,application_1758535431786_10301,0 days 00:01:20.257000
normal_cluster,application_1758535431786_10305,0 days 00:00:28.348000
normal_cluster,application_1758535431786_10284,0 days 00:04:05.095000
normal_cluster,application_1758535431786_10269,0 days 00:07:17.503000
normal_cluster,application_1758535431786_10261,0 days 00:07:50.501000
normal_cluster,application_1758535431786_10214,0 days 00:13:43.614000
normal_cluster,application_1758535431786_10295,0 days 00:03:53.714000
normal_cluster,application_1758535431786_10311,0 days 00:00:24.089000
normal_cluster,application_1758535431786_10286,0 days 00:05:30.533000
normal_cluster,application_1758535431786_10310,0 days 00:00:51.650000
normal_cluster,application_1758535431786_10306,0 days 00:01:52.499000
normal_cluster,application_1758535431786_10309,0 days 00:01:52.895000
normal_cluster,application_1758535431786_10312,0 days 00:00:26.331000
normal_cluster,application_1758535431786_10313,0 days 00:00:19.322000
normal_cluster,application_1758535431786_10307,0 days 00:02:06.108000
normal_cluster,application_1758535431786_10254,0 days 00:10:28.481000
normal_cluster,application_1758535431786_10303,0 days 00:03:10.608000
normal_cluster,application_1758535431786_10327,0 days 00:00:14.581000
normal_cluster,application_1758535431786_10316,0 days 00:00:35.212000
normal_cluster,application_1758535431786_10203,0 days 00:15:39.167000
normal_cluster,application_1758535431786_10280,0 days 00:07:03.213000
normal_cluster,application_1758535431786_10332,0 days 00:00:23.466000
normal_cluster,application_1758535431786_10308,0 days 00:02:48.572000
normal_cluster,application_1758535431786_10215,0 days 00:15:22.980000
normal_cluster,application_1758535431786_10330,0 days 00:00:31.384000
normal_cluster,application_1758535431786_10335,0 days 00:00:18.154000
normal_cluster,application_1758535431786_10336,0 days 00:00:18.470000
normal_cluster,application_1758535431786_10063,0 days 00:41:08.794000
normal_cluster,application_1758535431786_10333,0 days 00:00:24.833000
normal_cluster,application_1758535431786_10140,0 days 00:23:27.867000
normal_cluster,application_1758535431786_10337,0 days 00:00:32.654000
normal_cluster,application_1758535431786_10319,0 days 00:01:28.707000
normal_cluster,application_1758535431786_10334,0 days 00:00:40.906000
normal_cluster,application_1758535431786_10338,0 days 00:01:03.461000
normal_cluster,application_1758535431786_10315,0 days 00:02:00.118000
normal_cluster,application_1758535431786_10339,0 days 00:00:44.861000
normal_cluster,application_1758535431786_10331,0 days 00:01:35.584000
normal_cluster,application_1758535431786_10340,0 days 00:01:02.138000
normal_cluster,application_1758535431786_10341,0 days 00:00:45.204000
normal_cluster,application_1758535431786_10329,0 days 00:01:50.555000
normal_cluster,application_1758535431786_10344,0 days 00:00:22.776000
normal_cluster,application_1758535431786_10326,0 days 00:02:06.260000
normal_cluster,application_1758535431786_10321,0 days 00:02:41.294000
normal_cluster,application_1758535431786_10328,0 days 00:02:31.516000
normal_cluster,application_1758535431786_10345,0 days 00:00:33.170000
normal_cluster,application_1758535431786_10292,0 days 00:08:11.873000
normal_cluster,application_1758535431786_10349,0 days 00:00:55.092000
normal_cluster,application_1758535431786_10348,0 days 00:01:04.405000
normal_cluster,application_1758535431786_10352,0 days 00:00:36.620000
normal_cluster,application_1758535431786_10322,0 days 00:04:13.966000
normal_cluster,application_1758535431786_10357,0 days 00:00:12.663000
normal_cluster,application_1758535431786_10346,0 days 00:02:15.312000
